"Year","State","Race","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2021","South Carolina","American Indian / Alaska Native","0**","3,077","0.00**","--","--"
"2021","South Carolina","Asian","--","8,471","--","--","--"
"2021","South Carolina","HI Native / Pacific Islander","--","637","--","--","--"
"2021","South Carolina","More than One Race","--","19,482","--","--","--"
"2021","South Dakota","White","--","67,412","--","--","--"
"2021","South Dakota","Black","0**","2,445","0.00**","--","--"
"2021","South Dakota","American Indian / Alaska Native","11**","11,050","99.55**","--","532"
"2021","South Dakota","Asian","0**","1,327","0.00**","--","--"
"2021","South Dakota","HI Native / Pacific Islander","0**","68","0.00**","--","--"
"2021","South Dakota","More than One Race","0**","4,230","0.00**","--","--"
"2021","Tennessee","White","47","472,895","9.94","--","2,314"
"2021","Tennessee","Black","--","119,429","--","--","--"
"2021","Tennessee","American Indian / Alaska Native","0**","3,537","0.00**","--","--"
"2021","Tennessee","Asian","0**","12,611","0.00**","--","--"
"2021","Tennessee","HI Native / Pacific Islander","0**","892","0.00**","--","--"
"2021","Tennessee","More than One Race","--","25,441","--","--","--"
"2021","Texas","White","191","2,341,415","8.16","--","9,426"
"2021","Texas","Black","30","416,534","7.20","--","1,464"
"2021","Texas","American Indian / Alaska Native","--","35,101","--","--","--"
"2021","Texas","Asian","--","146,623","--","--","--"
"2021","Texas","HI Native / Pacific Islander","0**","5,077","0.00**","--","--"
"2021","Texas","More than One Race","--","102,150","--","--","--"
"2021","Utah","White","31","353,919","8.76","--","1,514"
"2021","Utah","Black","--","6,617","--","--","--"
"2021","Utah","American Indian / Alaska Native","0**","6,008","0.00**","--","--"
"2021","Utah","Asian","--","7,345","--","--","--"
"2021","Utah","HI Native / Pacific Islander","--","4,910","--","--","--"
"2021","Utah","More than One Race","--","15,970","--","--","--"
"2021","Vermont","White","--","47,924","--","--","--"
"2021","Vermont","Black","0**","1,023","0.00**","--","--"
"2021","Vermont","American Indian / Alaska Native","0**","182","0.00**","--","--"
"2021","Vermont","Asian","0**","1,369","0.00**","--","--"
"2021","Vermont","HI Native / Pacific Islander","0**","25","0.00**","--","--"
"2021","Vermont","More than One Race","0**","2,259","0.00**","--","--"
"2021","Virginia","White","40","505,057","7.92","--","1,965"
"2021","Virginia","Black","--","164,659","--","--","--"
"2021","Virginia","American Indian / Alaska Native","0**","5,098","0.00**","--","--"
"2021","Virginia","Asian","--","55,222","--","--","--"
"2021","Virginia","HI Native / Pacific Islander","0**","981","0.00**","--","--"
"2021","Virginia","More than One Race","--","48,439","--","--","--"
"2021","Washington","White","53","494,872","10.71","--","2,610"
"2021","Washington","Black","--","32,595","--","--","--"
"2021","Washington","American Indian / Alaska Native","--","15,987","--","--","--"
"2021","Washington","Asian","--","56,013","--","--","--"
"2021","Washington","HI Native / Pacific Islander","0**","7,276","0.00**","--","--"
"2021","Washington","More than One Race","--","61,803","--","--","--"
"2021","West Virginia","White","15**","137,926","10.88**","--","749"
"2021","West Virginia","Black","0**","5,973","0.00**","--","--"
"2021","West Virginia","American Indian / Alaska Native","0**","336","0.00**","--","--"
"2021","West Virginia","Asian","0**","1,083","0.00**","--","--"
"2021","West Virginia","HI Native / Pacific Islander","0**","56","0.00**","--","--"
"2021","West Virginia","More than One Race","0**","6,303","0.00**","--","--"
"2021","Wisconsin","White","42","438,855","9.57","--","2,048"
"2021","Wisconsin","Black","--","47,229","--","--","--"
"2021","Wisconsin","American Indian / Alaska Native","--","8,201","--","--","--"
"2021","Wisconsin","Asian","--","20,012","--","--","--"
"2021","Wisconsin","HI Native / Pacific Islander","--","328","--","--","--"
"2021","Wisconsin","More than One Race","--","23,683","--","--","--"
"2021","Wyoming","White","14**","50,667","27.63**","--","683"
"2021","Wyoming","Black","0**","615","0.00**","--","--"
"2021","Wyoming","American Indian / Alaska Native","0**","2,016","0.00**","--","--"
"2021","Wyoming","Asian","0**","433","0.00**","--","--"
"2021","Wyoming","HI Native / Pacific Islander","0**","53","0.00**","--","--"
"2021","Wyoming","More than One Race","0**","2,026","0.00**","--","--"
"2020","Alabama","White","18**","301,955","5.96**","--","888"
"2020","Alabama","Black","--","134,941","--","--","--"
"2020","Alabama","American Indian / Alaska Native","0**","3,493","0.00**","--","--"
"2020","Alabama","Asian","0**","7,134","0.00**","--","--"
"2020","Alabama","HI Native / Pacific Islander","0**","784","0.00**","--","--"
"2020","Alabama","More than One Race","0**","13,849","0.00**","--","--"
"2020","Alaska","White","--","37,006","--","--","--"
"2020","Alaska","Black","0**","2,290","0.00**","--","--"
"2020","Alaska","American Indian / Alaska Native","--","13,419","--","--","--"
"2020","Alaska","Asian","--","4,485","--","--","--"
"2020","Alaska","HI Native / Pacific Islander","0**","1,499","0.00**","--","--"
"2020","Alaska","More than One Race","--","9,129","--","--","--"
"2020","Arizona","White","46","522,132","8.81","--","2,272"
"2020","Arizona","Black","--","41,607","--","--","--"
"2020","Arizona","American Indian / Alaska Native","12**","44,749","26.82**","--","584"
"2020","Arizona","Asian","0**","23,068","0.00**","--","--"
"2020","Arizona","HI Native / Pacific Islander","--","2,104","--","--","--"
"2020","Arizona","More than One Race","--","34,509","--","--","--"
"2020","Arkansas","White","25","215,896","11.58","--","1,217"
"2020","Arkansas","Black","--","51,367","--","--","--"
"2020","Arkansas","American Indian / Alaska Native","0**","3,125","0.00**","--","--"
"2020","Arkansas","Asian","--","4,533","--","--","--"
"2020","Arkansas","HI Native / Pacific Islander","0**","2,078","0.00**","--","--"
"2020","Arkansas","More than One Race","0**","10,664","0.00**","--","--"
"2020","California","White","115","2,608,211","4.41","--","5,654"
"2020","California","Black","18**","235,770","7.64**","--","897"
"2020","California","American Indian / Alaska Native","0**","73,403","0.00**","--","--"
"2020","California","Asian","18**","478,804","3.76**","--","880"
"2020","California","HI Native / Pacific Islander","0**","19,482","0.00**","--","--"
"2020","California","More than One Race","17**","236,265","7.20**","--","831"
"2020","Colorado","White","72","440,384","16.35","--","3,529"
"2020","Colorado","Black","--","26,379","--","--","--"
"2020","Colorado","American Indian / Alaska Native","0**","9,635","0.00**","--","--"
"2020","Colorado","Asian","--","18,163","--","--","--"
"2020","Colorado","HI Native / Pacific Islander","--","1,226","--","--","--"
"2020","Colorado","More than One Race","--","29,380","--","--","--"
"2020","Connecticut","White","--","242,820","--","--","--"
"2020","Connecticut","Black","--","47,045","--","--","--"
"2020","Connecticut","American Indian / Alaska Native","0**","2,247","0.00**","--","--"
"2020","Connecticut","Asian","0**","16,804","0.00**","--","--"
"2020","Connecticut","HI Native / Pacific Islander","0**","368","0.00**","--","--"
"2020","Connecticut","More than One Race","0**","15,784","0.00**","--","--"
"2020","Delaware","White","--","53,472","--","--","--"
"2020","Delaware","Black","--","24,059","--","--","--"
"2020","Delaware","American Indian / Alaska Native","0**","776","0.00**","--","--"
"2020","Delaware","Asian","0**","3,202","0.00**","--","--"
"2020","Delaware","HI Native / Pacific Islander","0**","104","0.00**","--","--"
"2020","Delaware","More than One Race","--","5,114","--","--","--"
"2020","District of Columbia","White","--","11,769","--","--","--"
"2020","District of Columbia","Black","0**","24,254","0.00**","--","--"
"2020","District of Columbia","American Indian / Alaska Native","0**","302","0.00**","--","--"
"2020","District of Columbia","Asian","0**","957","0.00**","--","--"
"2020","District of Columbia","HI Native / Pacific Islander","0**","77","0.00**","--","--"
"2020","District of Columbia","More than One Race","0**","1,592","0.00**","--","--"
"2020","Florida","White","85","1,232,173","6.90","--","4,179"
"2020","Florida","Black","18**","376,767","4.78**","--","871"
"2020","Florida","American Indian / Alaska Native","--","10,387","--","--","--"
"2020","Florida","Asian","--","53,026","--","--","--"
"2020","Florida","HI Native / Pacific Islander","0**","2,270","0.00**","--","--"
"2020","Florida","More than One Race","--","75,191","--","--","--"
"2020","Georgia","White","48","598,857","8.02","--","2,351"
"2020","Georgia","Black","22","372,753","5.90","--","1,087"
"2020","Georgia","American Indian / Alaska Native","0**","7,007","0.00**","--","--"
"2020","Georgia","Asian","--","43,779","--","--","--"
"2020","Georgia","HI Native / Pacific Islander","0**","1,510","0.00**","--","--"
"2020","Georgia","More than One Race","--","40,349","--","--","--"
"2020","Hawaii","White","0**","17,492","0.00**","--","--"
"2020","Hawaii","Black","0**","2,027","0.00**","--","--"
"2020","Hawaii","American Indian / Alaska Native","0**","309","0.00**","--","--"
"2020","Hawaii","Asian","--","32,807","--","--","--"
"2020","Hawaii","HI Native / Pacific Islander","0**","15,461","0.00**","--","--"
"2020","Hawaii","More than One Race","--","44,719","--","--","--"
"2020","Idaho","White","27","180,268","14.98","--","1,328"
"2020","Idaho","Black","0**","2,158","0.00**","--","--"
"2020","Idaho","American Indian / Alaska Native","--","3,489","--","--","--"
"2020","Idaho","Asian","--","2,561","--","--","--"
"2020","Idaho","HI Native / Pacific Islander","0**","487","0.00**","--","--"
"2020","Idaho","More than One Race","0**","7,634","0.00**","--","--"
"2020","Illinois","White","51","885,394","5.76","--","2,509"
"2020","Illinois","Black","12**","187,784","6.39**","--","585"
"2020","Illinois","American Indian / Alaska Native","0**","10,265","0.00**","--","--"
"2020","Illinois","Asian","--","63,353","--","--","--"
"2020","Illinois","HI Native / Pacific Islander","0**","853","0.00**","--","--"
"2020","Illinois","More than One Race","--","46,067","--","--","--"
"2020","Indiana","White","45","529,103","8.51","--","2,241"
"2020","Indiana","Black","--","76,059","--","--","--"
"2020","Indiana","American Indian / Alaska Native","0**","3,263","0.00**","--","--"
"2020","Indiana","Asian","--","16,880","--","--","--"
"2020","Indiana","HI Native / Pacific Islander","0**","600","0.00**","--","--"
"2020","Indiana","More than One Race","--","27,711","--","--","--"
"2020","Iowa","White","18**","264,680","6.80**","--","880"
"2020","Iowa","Black","--","16,279","--","--","--"
"2020","Iowa","American Indian / Alaska Native","--","2,032","--","--","--"
"2020","Iowa","Asian","0**","8,212","0.00**","--","--"
"2020","Iowa","HI Native / Pacific Islander","0**","678","0.00**","--","--"
"2020","Iowa","More than One Race","0**","12,204","0.00**","--","--"
"2020","Kansas","White","25","240,766","10.38","--","1,223"
"2020","Kansas","Black","--","19,311","--","--","--"
"2020","Kansas","American Indian / Alaska Native","--","3,884","--","--","--"
"2020","Kansas","Asian","0**","8,549","0.00**","--","--"
"2020","Kansas","HI Native / Pacific Islander","0**","426","0.00**","--","--"
"2020","Kansas","More than One Race","--","17,113","--","--","--"
"2020","Kentucky","White","21","347,653","6.04","--","1,046"
"2020","Kentucky","Black","--","40,604","--","--","--"
"2020","Kentucky","American Indian / Alaska Native","0**","1,287","0.00**","--","--"
"2020","Kentucky","Asian","0**","7,620","0.00**","--","--"
"2020","Kentucky","HI Native / Pacific Islander","0**","542","0.00**","--","--"
"2020","Kentucky","More than One Race","--","16,814","--","--","--"
"2020","Louisiana","White","24","249,882","9.61","--","1,181"
"2020","Louisiana","Black","--","162,857","--","--","--"
"2020","Louisiana","American Indian / Alaska Native","--","3,610","--","--","--"
"2020","Louisiana","Asian","0**","7,363","0.00**","--","--"
"2020","Louisiana","HI Native / Pacific Islander","0**","247","0.00**","--","--"
"2020","Louisiana","More than One Race","0**","13,359","0.00**","--","--"
"2020","Maine","White","--","99,011","--","--","--"
"2020","Maine","Black","0**","3,198","0.00**","--","--"
"2020","Maine","American Indian / Alaska Native","0**","893","0.00**","--","--"
"2020","Maine","Asian","0**","1,818","0.00**","--","--"
"2020","Maine","HI Native / Pacific Islander","0**","54","0.00**","--","--"
"2020","Maine","More than One Race","0**","4,051","0.00**","--","--"
"2020","Maryland","White","14**","305,292","4.59**","--","683"
"2020","Maryland","Black","12**","182,135","6.59**","--","598"
"2020","Maryland","American Indian / Alaska Native","0**","4,139","0.00**","--","--"
"2020","Maryland","Asian","--","36,349","--","--","--"
"2020","Maryland","HI Native / Pacific Islander","0**","583","0.00**","--","--"
"2020","Maryland","More than One Race","--","31,572","--","--","--"
"2020","Massachusetts","White","19**","453,781","4.19**","--","927"
"2020","Massachusetts","Black","--","65,420","--","--","--"
"2020","Massachusetts","American Indian / Alaska Native","0**","3,916","0.00**","--","--"
"2020","Massachusetts","Asian","--","43,923","--","--","--"
"2020","Massachusetts","HI Native / Pacific Islander","0**","848","0.00**","--","--"
"2020","Massachusetts","More than One Race","0**","27,671","0.00**","--","--"
"2020","Michigan","White","47","684,929","6.86","--","2,302"
"2020","Michigan","Black","--","142,066","--","--","--"
"2020","Michigan","American Indian / Alaska Native","--","7,504","--","--","--"
"2020","Michigan","Asian","--","32,662","--","--","--"
"2020","Michigan","HI Native / Pacific Islander","0**","418","0.00**","--","--"
"2020","Michigan","More than One Race","0**","46,155","0.00**","--","--"
"2020","Minnesota","White","25","411,497","6.08","--","1,220"
"2020","Minnesota","Black","--","53,153","--","--","--"
"2020","Minnesota","American Indian / Alaska Native","--","9,626","--","--","--"
"2020","Minnesota","Asian","0**","32,414","0.00**","--","--"
"2020","Minnesota","HI Native / Pacific Islander","0**","505","0.00**","--","--"
"2020","Minnesota","More than One Race","--","29,241","--","--","--"
"2020","Mississippi","White","--","155,925","--","--","--"
"2020","Mississippi","Black","--","123,782","--","--","--"
"2020","Mississippi","American Indian / Alaska Native","0**","2,270","0.00**","--","--"
"2020","Mississippi","Asian","0**","3,007","0.00**","--","--"
"2020","Mississippi","HI Native / Pacific Islander","0**","195","0.00**","--","--"
"2020","Mississippi","More than One Race","--","7,028","--","--","--"
"2020","Missouri","White","42","446,372","9.41","--","2,065"
"2020","Missouri","Black","--","76,457","--","--","--"
"2020","Missouri","American Indian / Alaska Native","0**","3,171","0.00**","--","--"
"2020","Missouri","Asian","0**","12,388","0.00**","--","--"
"2020","Missouri","HI Native / Pacific Islander","0**","1,381","0.00**","--","--"
"2020","Missouri","More than One Race","--","25,931","--","--","--"
"2020","Montana","White","--","78,794","--","--","--"
"2020","Montana","Black","0**","666","0.00**","--","--"
"2020","Montana","American Indian / Alaska Native","--","9,448","--","--","--"
"2020","Montana","Asian","0**","812","0.00**","--","--"
"2020","Montana","HI Native / Pacific Islander","0**","73","0.00**","--","--"
"2020","Montana","More than One Race","0**","4,798","0.00**","--","--"
"2020","Nebraska","White","13**","163,758","7.94**","--","637"
"2020","Nebraska","Black","--","12,126","--","--","--"
"2020","Nebraska","American Indian / Alaska Native","0**","3,883","0.00**","--","--"
"2020","Nebraska","Asian","0**","5,194","0.00**","--","--"
"2020","Nebraska","HI Native / Pacific Islander","0**","329","0.00**","--","--"
"2020","Nebraska","More than One Race","0**","8,622","0.00**","--","--"
"2020","Nevada","White","24","196,937","12.19","--","1,164"
"2020","Nevada","Black","--","32,654","--","--","--"
"2020","Nevada","American Indian / Alaska Native","0**","5,205","0.00**","--","--"
"2020","Nevada","Asian","0**","19,740","0.00**","--","--"
"2020","Nevada","HI Native / Pacific Islander","0**","2,688","0.00**","--","--"
"2020","Nevada","More than One Race","--","22,317","--","--","--"
"2020","New Hampshire","White","--","103,572","--","--","--"
"2020","New Hampshire","Black","0**","2,852","0.00**","--","--"
"2020","New Hampshire","American Indian / Alaska Native","0**","336","0.00**","--","--"
"2020","New Hampshire","Asian","0**","3,810","0.00**","--","--"
"2020","New Hampshire","HI Native / Pacific Islander","0**","63","0.00**","--","--"
"2020","New Hampshire","More than One Race","0**","4,134","0.00**","--","--"
"2020","New Jersey","White","26","582,435","4.46","--","1,266"
"2020","New Jersey","Black","--","136,438","--","--","--"
"2020","New Jersey","American Indian / Alaska Native","0**","6,752","0.00**","--","--"
"2020","New Jersey","Asian","--","82,252","--","--","--"
"2020","New Jersey","HI Native / Pacific Islander","0**","1,050","0.00**","--","--"
"2020","New Jersey","More than One Race","0**","33,250","0.00**","--","--"
"2020","New Mexico","White","26","155,781","16.69","--","1,284"
"2020","New Mexico","Black","--","6,077","--","--","--"
"2020","New Mexico","American Indian / Alaska Native","--","26,970","--","--","--"
"2020","New Mexico","Asian","0**","3,174","0.00**","--","--"
"2020","New Mexico","HI Native / Pacific Islander","0**","363","0.00**","--","--"
"2020","New Mexico","More than One Race","--","8,474","--","--","--"
"2020","New York","White","30","1,126,775","2.66","--","1,485"
"2020","New York","Black","--","324,200","--","--","--"
"2020","New York","American Indian / Alaska Native","0**","21,190","0.00**","--","--"
"2020","New York","Asian","--","138,353","--","--","--"
"2020","New York","HI Native / Pacific Islander","0**","2,602","0.00**","--","--"
"2020","New York","More than One Race","0**","72,683","0.00**","--","--"
"2020","North Carolina","White","48","640,763","7.49","--","2,362"
"2020","North Carolina","Black","--","230,350","--","--","--"
"2020","North Carolina","American Indian / Alaska Native","0**","17,611","0.00**","--","--"
"2020","North Carolina","Asian","--","31,939","--","--","--"
"2020","North Carolina","HI Native / Pacific Islander","0**","1,534","0.00**","--","--"
"2020","North Carolina","More than One Race","0**","43,913","0.00**","--","--"
"2020","North Dakota","White","--","57,368","--","--","--"
"2020","North Dakota","Black","--","2,516","--","--","--"
"2020","North Dakota","American Indian / Alaska Native","--","5,480","--","--","--"
"2020","North Dakota","Asian","0**","961","0.00**","--","--"
"2020","North Dakota","HI Native / Pacific Islander","0**","46","0.00**","--","--"
"2020","North Dakota","More than One Race","0**","2,882","0.00**","--","--"
"2020","Ohio","White","54","831,750","6.49","--","2,687"
"2020","Ohio","Black","11**","163,211","6.74**","--","530"
"2020","Ohio","American Indian / Alaska Native","0**","3,001","0.00**","--","--"
"2020","Ohio","Asian","--","27,140","--","--","--"
"2020","Ohio","HI Native / Pacific Islander","0**","918","0.00**","--","--"
"2020","Ohio","More than One Race","--","53,281","--","--","--"
"2020","Oklahoma","White","33","260,702","12.66","--","1,616"
"2020","Oklahoma","Black","0**","32,774","0.00**","--","--"
"2020","Oklahoma","American Indian / Alaska Native","15**","43,840","34.22**","--","732"
"2020","Oklahoma","Asian","--","8,491","--","--","--"
"2020","Oklahoma","HI Native / Pacific Islander","0**","1,059","0.00**","--","--"
"2020","Oklahoma","More than One Race","--","39,686","--","--","--"
"2020","Oregon","White","29","297,991","9.73","--","1,419"
"2020","Oregon","Black","--","9,626","--","--","--"
"2020","Oregon","American Indian / Alaska Native","0**","7,955","0.00**","--","--"
"2020","Oregon","Asian","--","16,255","--","--","--"
"2020","Oregon","HI Native / Pacific Islander","--","2,113","--","--","--"
"2020","Oregon","More than One Race","--","25,208","--","--","--"
"2020","Pennsylvania","White","44","861,039","5.11","--","2,159"
"2020","Pennsylvania","Black","--","163,330","--","--","--"
"2020","Pennsylvania","American Indian / Alaska Native","0**","5,515","0.00**","--","--"
"2020","Pennsylvania","Asian","--","45,996","--","--","--"
"2020","Pennsylvania","HI Native / Pacific Islander","0**","1,012","0.00**","--","--"
"2020","Pennsylvania","More than One Race","--","49,903","--","--","--"
"2020","Rhode Island","White","--","72,500","--","--","--"
"2020","Rhode Island","Black","0**","10,054","0.00**","--","--"
"2020","Rhode Island","American Indian / Alaska Native","0**","1,233","0.00**","--","--"
"2020","Rhode Island","Asian","0**","3,489","0.00**","--","--"
"2020","Rhode Island","HI Native / Pacific Islander","0**","193","0.00**","--","--"
"2020","Rhode Island","More than One Race","--","5,409","--","--","--"
"2020","South Carolina","White","38","294,479","12.90","--","1,852"
"2020","South Carolina","Black","--","139,859","--","--","--"
"2020","South Carolina","American Indian / Alaska Native","0**","3,000","0.00**","--","--"
"2020","South Carolina","Asian","0**","8,303","0.00**","--","--"
"2020","South Carolina","HI Native / Pacific Islander","--","614","--","--","--"
"2020","South Carolina","More than One Race","0**","18,281","0.00**","--","--"
"2020","South Dakota","White","--","66,170","--","--","--"
"2020","South Dakota","Black","0**","2,230","0.00**","--","--"
"2020","South Dakota","American Indian / Alaska Native","14**","10,932","128.06**","--","682"
"2020","South Dakota","Asian","0**","1,380","0.00**","--","--"
"2020","South Dakota","HI Native / Pacific Islander","0**","74","0.00**","--","--"
"2020","South Dakota","More than One Race","0**","4,021","0.00**","--","--"
"2020","Tennessee","White","35","471,043","7.43","--","1,732"
"2020","Tennessee","Black","--","119,207","--","--","--"
"2020","Tennessee","American Indian / Alaska Native","0**","3,506","0.00**","--","--"
"2020","Tennessee","Asian","0**","12,429","0.00**","--","--"
"2020","Tennessee","HI Native / Pacific Islander","0**","878","0.00**","--","--"
"2020","Tennessee","More than One Race","--","24,122","--","--","--"
"2020","Texas","White","197","2,324,476","8.48","--","9,681"
"2020","Texas","Black","30","408,488","7.34","--","1,483"
"2020","Texas","American Indian / Alaska Native","--","34,657","--","--","--"
"2020","Texas","Asian","11**","142,893","7.70**","--","540"
"2020","Texas","HI Native / Pacific Islander","--","4,921","--","--","--"
"2020","Texas","More than One Race","0**","96,975","0.00**","--","--"
"2020","Utah","White","52","348,518","14.92","--","2,550"
"2020","Utah","Black","0**","6,485","0.00**","--","--"
"2020","Utah","American Indian / Alaska Native","--","5,949","--","--","--"
"2020","Utah","Asian","0**","7,523","0.00**","--","--"
"2020","Utah","HI Native / Pacific Islander","0**","4,730","0.00**","--","--"
"2020","Utah","More than One Race","0**","15,293","0.00**","--","--"
"2020","Vermont","White","--","48,154","--","--","--"
"2020","Vermont","Black","0**","1,029","0.00**","--","--"
"2020","Vermont","American Indian / Alaska Native","0**","179","0.00**","--","--"
"2020","Vermont","Asian","--","1,417","--","--","--"
"2020","Vermont","HI Native / Pacific Islander","0**","24","0.00**","--","--"
"2020","Vermont","More than One Race","0**","2,141","0.00**","--","--"
"2020","Virginia","White","42","506,218","8.30","--","2,065"
"2020","Virginia","Black","--","164,512","--","--","--"
"2020","Virginia","American Indian / Alaska Native","0**","5,003","0.00**","--","--"
"2020","Virginia","Asian","--","54,464","--","--","--"
"2020","Virginia","HI Native / Pacific Islander","0**","945","0.00**","--","--"
"2020","Virginia","More than One Race","--","46,890","--","--","--"
"2020","Washington","White","36","496,564","7.25","--","1,787"
"2020","Washington","Black","--","32,208","--","--","--"
"2020","Washington","American Indian / Alaska Native","--","15,801","--","--","--"
"2020","Washington","Asian","--","56,180","--","--","--"
"2020","Washington","HI Native / Pacific Islander","0**","7,201","0.00**","--","--"
"2020","Washington","More than One Race","--","60,079","--","--","--"
"2020","West Virginia","White","--","138,192","--","--","--"
"2020","West Virginia","Black","--","5,881","--","--","--"
"2020","West Virginia","American Indian / Alaska Native","0**","308","0.00**","--","--"
"2020","West Virginia","Asian","0**","1,042","0.00**","--","--"
"2020","West Virginia","HI Native / Pacific Islander","0**","53","0.00**","--","--"
"2020","West Virginia","More than One Race","0**","5,997","0.00**","--","--"
"2020","Wisconsin","White","29","443,517","6.54","--","1,421"
"2020","Wisconsin","Black","--","47,074","--","--","--"
"2020","Wisconsin","American Indian / Alaska Native","0**","8,175","0.00**","--","--"
"2020","Wisconsin","Asian","0**","19,870","0.00**","--","--"
"2020","Wisconsin","HI Native / Pacific Islander","0**","318","0.00**","--","--"
"2020","Wisconsin","More than One Race","0**","22,888","0.00**","--","--"
"2020","Wyoming","White","--","49,803","--","--","--"
"2020","Wyoming","Black","0**","598","0.00**","--","--"
"2020","Wyoming","American Indian / Alaska Native","0**","2,013","0.00**","--","--"
"2020","Wyoming","Asian","0**","443","0.00**","--","--"
"2020","Wyoming","HI Native / Pacific Islander","0**","65","0.00**","--","--"
"2020","Wyoming","More than One Race","0**","1,954","0.00**","--","--"
"2019","Alabama","White","26","284,459","9.14","--","1,280"
"2019","Alabama","Black","--","127,955","--","--","--"
"2019","Alabama","American Indian / Alaska Native","--","3,241","--","--","--"
"2019","Alabama","Asian","0**","6,861","0.00**","--","--"
"2019","Alabama","HI Native / Pacific Islander","0**","664","0.00**","--","--"
"2019","Alabama","More than One Race","0**","12,673","0.00**","--","--"
"2019","Alaska","White","--","36,139","--","--","--"
"2019","Alaska","Black","0**","2,237","0.00**","--","--"
"2019","Alaska","American Indian / Alaska Native","13**","12,809","101.49**","--","639"
"2019","Alaska","Asian","--","4,425","--","--","--"
"2019","Alaska","HI Native / Pacific Islander","0**","1,441","0.00**","--","--"
"2019","Alaska","More than One Race","--","8,853","--","--","--"
"2019","Arizona","White","38","525,183","7.24","--","1,870"
"2019","Arizona","Black","--","39,967","--","--","--"
"2019","Arizona","American Indian / Alaska Native","--","44,796","--","--","--"
"2019","Arizona","Asian","0**","22,380","0.00**","--","--"
"2019","Arizona","HI Native / Pacific Islander","0**","2,109","0.00**","--","--"
"2019","Arizona","More than One Race","0**","33,132","0.00**","--","--"
"2019","Arkansas","White","15**","209,625","7.16**","--","742"
"2019","Arkansas","Black","--","49,974","--","--","--"
"2019","Arkansas","American Indian / Alaska Native","--","2,995","--","--","--"
"2019","Arkansas","Asian","0**","4,452","0.00**","--","--"
"2019","Arkansas","HI Native / Pacific Islander","--","1,872","--","--","--"
"2019","Arkansas","More than One Race","0**","10,095","0.00**","--","--"
"2019","California","White","96","2,541,297","3.78","--","4,692"
"2019","California","Black","--","230,818","--","--","--"
"2019","California","American Indian / Alaska Native","--","71,032","--","--","--"
"2019","California","Asian","18**","460,510","3.91**","--","876"
"2019","California","HI Native / Pacific Islander","--","19,004","--","--","--"
"2019","California","More than One Race","13**","224,325","5.80**","--","640"
"2019","Colorado","White","63","427,677","14.73","--","3,104"
"2019","Colorado","Black","--","25,908","--","--","--"
"2019","Colorado","American Indian / Alaska Native","--","9,573","--","--","--"
"2019","Colorado","Asian","--","17,858","--","--","--"
"2019","Colorado","HI Native / Pacific Islander","0**","1,188","0.00**","--","--"
"2019","Colorado","More than One Race","--","28,007","--","--","--"
"2019","Connecticut","White","15**","239,225","6.27**","--","730"
"2019","Connecticut","Black","--","45,116","--","--","--"
"2019","Connecticut","American Indian / Alaska Native","0**","2,124","0.00**","--","--"
"2019","Connecticut","Asian","0**","16,362","0.00**","--","--"
"2019","Connecticut","HI Native / Pacific Islander","0**","350","0.00**","--","--"
"2019","Connecticut","More than One Race","0**","14,725","0.00**","--","--"
"2019","Delaware","White","--","51,022","--","--","--"
"2019","Delaware","Black","--","22,840","--","--","--"
"2019","Delaware","American Indian / Alaska Native","0**","689","0.00**","--","--"
"2019","Delaware","Asian","0**","3,040","0.00**","--","--"
"2019","Delaware","HI Native / Pacific Islander","0**","100","0.00**","--","--"
"2019","Delaware","More than One Race","0**","4,744","0.00**","--","--"
"2019","District of Columbia","White","0**","13,232","0.00**","--","--"
"2019","District of Columbia","Black","--","24,770","--","--","--"
"2019","District of Columbia","American Indian / Alaska Native","0**","308","0.00**","--","--"
"2019","District of Columbia","Asian","0**","1,174","0.00**","--","--"
"2019","District of Columbia","HI Native / Pacific Islander","0**","76","0.00**","--","--"
"2019","District of Columbia","More than One Race","0**","1,584","0.00**","--","--"
"2019","Florida","White","76","1,194,911","6.36","--","3,735"
"2019","Florida","Black","16**","364,991","4.38**","--","783"
"2019","Florida","American Indian / Alaska Native","0**","10,142","0.00**","--","--"
"2019","Florida","Asian","--","50,643","--","--","--"
"2019","Florida","HI Native / Pacific Islander","0**","2,220","0.00**","--","--"
"2019","Florida","More than One Race","--","70,304","--","--","--"
"2019","Georgia","White","43","577,889","7.44","--","2,107"
"2019","Georgia","Black","18**","358,672","5.02**","--","887"
"2019","Georgia","American Indian / Alaska Native","0**","6,548","0.00**","--","--"
"2019","Georgia","Asian","--","41,845","--","--","--"
"2019","Georgia","HI Native / Pacific Islander","0**","1,437","0.00**","--","--"
"2019","Georgia","More than One Race","--","37,477","--","--","--"
"2019","Hawaii","White","--","16,856","--","--","--"
"2019","Hawaii","Black","0**","1,880","0.00**","--","--"
"2019","Hawaii","American Indian / Alaska Native","0**","275","0.00**","--","--"
"2019","Hawaii","Asian","--","31,176","--","--","--"
"2019","Hawaii","HI Native / Pacific Islander","--","14,711","--","--","--"
"2019","Hawaii","More than One Race","--","42,761","--","--","--"
"2019","Idaho","White","15**","166,383","9.02**","--","748"
"2019","Idaho","Black","0**","2,027","0.00**","--","--"
"2019","Idaho","American Indian / Alaska Native","--","3,258","--","--","--"
"2019","Idaho","Asian","--","2,475","--","--","--"
